,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_learning_rate,param_max_features,param_n_estimators,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
22,6.291718149185181,0.01249833106994629,-10022430.660463858,-5.146572066941739,0.7,auto,500,0.9,"{'n_estimators': 500, 'max_features': 'auto', 'learning_rate': 0.7, 'subsample': 0.9}",53,-7438544.535384848,-5.34921195572595,-7438132.148953221,-3.3904921541105804,-7938272.512578849,-3.822448988444435,-20090555.304938175,-4.337463989971763,-7206648.800464194,-8.83324324645597,0.4494522854215342,0.006249166394332942,5039732.985568613,1.9557291109897428
23,5.797308397293091,0.013981962203979492,-9249494.2135751,-3.5699032963354456,0.7,auto,500,1,"{'n_estimators': 500, 'max_features': 'auto', 'learning_rate': 0.7, 'subsample': 1}",39,-7258057.779034529,-4.3432437520134535,-5984003.678239199,-3.697629941489247,-8149200.312569457,-3.239525477542187,-16593132.033017658,-3.4508077661716174,-8263077.265014658,-3.118309544460723,0.310623456036191,0.002561737923630052,3761434.0083890497,0.4339676765516982
24,0.44390459060668946,0.0056054115295410155,-8646422.272793744,-458626.51828672236,0.7,sqrt,100,0.8,"{'n_estimators': 100, 'max_features': 'sqrt', 'learning_rate': 0.7, 'subsample': 0.8}",28,-7873032.673840518,-492610.5393224384,-8984036.375684028,-485281.43880312535,-7728199.128719717,-467582.1320153229,-8549475.080828583,-400703.74163388513,-10097368.104895864,-446954.7396588398,0.06394917305510707,0.007424198707299739,856725.2841228717,32975.38464449024
25,0.3144796848297119,0.0031264305114746095,-8183509.226298802,-389344.0681217028,0.7,sqrt,100,0.9,"{'n_estimators': 100, 'max_features': 'sqrt', 'learning_rate': 0.7, 'subsample': 0.9}",17,-7271309.679325338,-399233.119075294,-6582500.091554458,-429582.87374908687,-8875680.78786199,-376996.38846814586,-11094323.999968901,-366997.5114508623,-7093731.57278332,-373910.44786512526,0.011799085536567215,0.006252861022949218,1645290.1090317213,22834.120211540056
26,0.24063506126403808,0.0,-7455580.969733682,-345961.7085295839,0.7,sqrt,100,1,"{'n_estimators': 100, 'max_features': 'sqrt', 'learning_rate': 0.7, 'subsample': 1}",8,-7255510.9048069045,-310653.42126476654,-6842702.06649704,-364758.7599942474,-6650515.593622928,-449069.0954966428,-8344753.8306197785,-344892.2486860331,-8184422.45312176,-260435.01720622956,0.0076569537430853235,0.0,690741.2142283685,62525.34880125373
27,1.328890037536621,0.006253337860107422,-9280185.09958014,-2084.1233700656376,0.7,sqrt,500,0.8,"{'n_estimators': 500, 'max_features': 'sqrt', 'learning_rate': 0.7, 'subsample': 0.8}",40,-8160859.36552791,-1835.689730066037,-10169244.956207946,-2439.069263791344,-7971704.770840168,-1761.4377524146205,-10691230.126487445,-2203.684484690054,-9407886.278837241,-2180.735619366132,0.009086566459473033,0.007658743510355565,1073572.9092541013,251.18147051092112
28,1.2800508499145509,0.009376335144042968,-8502155.564666178,-1901.3200364821082,0.7,sqrt,500,0.9,"{'n_estimators': 500, 'max_features': 'sqrt', 'learning_rate': 0.7, 'subsample': 0.9}",24,-7324990.610168905,-1495.3334245801066,-10155115.579641927,-1908.299016203676,-7015025.965743607,-1986.186012494535,-8903714.086767606,-1730.851177537221,-9111931.581008846,-2385.930551595002,0.013573415666720727,0.007655747066285609,1171548.0888103417,295.29072193826823
29,0.9739924430847168,0.011373472213745118,-8116569.436013567,-1603.159197639783,0.7,sqrt,500,1,"{'n_estimators': 500, 'max_features': 'sqrt', 'learning_rate': 0.7, 'subsample': 1}",13,-7457103.371370617,-1473.6404929439325,-8244804.3522938145,-1082.4660827310506,-8183118.726547093,-1986.1103246733212,-9144505.53166524,-1706.881950412568,-7553315.198191071,-1766.6971374380437,0.007544806791246555,0.006089268418248068,604925.8542016834,307.2624440675854
30,0.27411231994628904,0.0031251430511474608,-9209629.693708222,-606419.8107340636,0.7,log2,100,0.8,"{'n_estimators': 100, 'max_features': 'log2', 'learning_rate': 0.7, 'subsample': 0.8}",36,-7629515.890210647,-629342.3811524775,-8034967.911626997,-659043.1136046579,-10131545.825513015,-585207.4318772183,-10901808.290148335,-604140.9647438121,-9350310.551042113,-554365.1622921523,0.007594877258571551,0.0062502861022949215,1233675.7105688634,35943.01272798942
31,0.2656387805938721,0.006249475479125977,-7371702.796381307,-494939.35259475035,0.7,log2,100,0.9,"{'n_estimators': 100, 'max_features': 'log2', 'learning_rate': 0.7, 'subsample': 0.9}",6,-7634949.548930078,-413883.9167343953,-6353430.826780033,-496606.05489794235,-7214222.253946876,-486755.27898024785,-7048037.203987744,-508904.8722790807,-8607874.1482618,-568546.6400820856,0.009882194418412241,0.00765401502076872,743485.8176129652,49503.14970040559
